id,nome,cpf,entrada,saida,setor,foto,visitante_id,created_at,updated_at,deleted_at
543,"Galena Battle",584.762.625-82,"2024-02-25 18:02:51","2025-02-28 00:01:01",Parnamirim,null,543,NULL,NULL,NULL
544,"Amela Silva",517.162.545-92,"2023-12-25 01:13:50","2024-05-12 18:55:42",Extremoz,null,544,NULL,NULL,NULL
545,"Emery Bray",815.925.450-57,"2023-08-21 01:05:08","2024-04-17 01:16:34",Macaíba,null,545,NULL,NULL,NULL
546,"Aristotle Burt",626.668.618-52,"2024-03-03 08:59:02","2024-01-21 21:37:51",Macaíba,null,546,NULL,NULL,NULL
547,"Wanda Burris",498.601.973-78,"2024-02-15 04:33:08","2024-05-01 13:44:17",Ceará-Mirim,null,547,NULL,NULL,NULL
548,"Yoko Joyce",021.354.028-82,"2023-10-10 02:09:49","2025-06-20 15:42:07",Macaíba,null,548,NULL,NULL,NULL
549,"Farrah Christian",211.566.273-09,"2024-01-07 01:15:08","2025-03-25 20:33:22",Natal,null,549,NULL,NULL,NULL
550,"Urielle Wilder",441.674.436-49,"2023-12-12 01:30:53","2025-04-18 17:35:00",Parnamirim,null,550,NULL,NULL,NULL
551,"Harlan Rose",447.364.434-55,"2024-03-07 14:47:05","2024-01-30 06:39:14",Parnamirim,null,551,NULL,NULL,NULL
552,"Cleo Burke",605.189.853-63,"2024-05-30 05:21:03","2024-08-01 07:18:01",Parnamirim,null,552,NULL,NULL,NULL
553,"Chadwick Rasmussen",742.922.241-58,"2024-03-13 22:21:53","2025-06-06 06:18:31",Extremoz,null,553,NULL,NULL,NULL
554,"Ori Burton",536.172.886-37,"2023-12-11 18:05:16","2024-09-08 18:07:33",Natal,null,554,NULL,NULL,NULL
555,"James Bruce",152.884.756-26,"2024-03-20 03:11:03","2024-09-01 01:20:37",Natal,null,555,NULL,NULL,NULL
556,"Rowan Levine",411.351.601-43,"2023-11-25 05:11:37","2024-10-18 19:37:01",Macaíba,null,556,NULL,NULL,NULL
557,"Brent Sparks",129.961.409-47,"2024-11-07 07:23:52","2024-09-07 13:53:19",Extremoz,null,557,NULL,NULL,NULL
558,"Omar Mcdonald",653.862.232-46,"2024-07-08 17:46:55","2024-10-10 01:42:40",Macaíba,null,558,NULL,NULL,NULL
559,"Jared Lane",281.845.507-64,"2024-02-15 21:58:36","2025-03-12 19:25:50",Ceará-Mirim,null,559,NULL,NULL,NULL
560,"Rebekah Gonzalez",200.401.533-18,"2023-10-20 14:31:59","2024-04-09 04:18:05",Macaíba,null,560,NULL,NULL,NULL
561,"Bryar Rodgers",670.634.624-97,"2024-06-07 13:59:17","2024-10-08 12:31:50",Natal,null,561,NULL,NULL,NULL
562,"Adrienne Rollins",552.742.863-06,"2024-01-17 23:55:51","2025-05-07 04:56:21",Macaíba,null,562,NULL,NULL,NULL
563,"Chaney Wilkinson",498.855.273-41,"2025-06-30 04:50:15","2025-07-07 12:24:46",Extremoz,null,563,NULL,NULL,NULL
564,"Daniel Moreno",650.115.351-23,"2024-11-11 15:52:08","2024-01-03 06:11:51",Ceará-Mirim,null,564,NULL,NULL,NULL
565,"Graham Kline",634.496.129-36,"2025-02-27 20:38:22","2024-07-17 22:14:07","São Gonçalo do Amarante",null,565,NULL,NULL,NULL
566,"Meredith Dale",832.113.322-49,"2024-10-04 09:39:37","2024-09-18 23:35:03",Ceará-Mirim,null,566,NULL,NULL,NULL
567,"Rigel Curtis",312.017.733-68,"2025-07-10 14:11:37","2024-08-08 05:29:07",Macaíba,null,567,NULL,NULL,NULL
568,"Dennis Mendez",667.482.027-41,"2024-07-07 09:19:59","2024-06-08 19:33:34","São Gonçalo do Amarante",null,568,NULL,NULL,NULL
569,"Maite Mcfarland",484.092.128-37,"2025-05-25 23:34:19","2024-12-12 20:05:23",Ceará-Mirim,null,569,NULL,NULL,NULL
570,"Maite Matthews",888.264.848-43,"2023-10-08 19:01:47","2024-11-13 05:27:16",Natal,null,570,NULL,NULL,NULL
571,"Hedley Acosta",744.327.294-64,"2024-11-08 15:20:08","2023-10-05 19:05:57","São Gonçalo do Amarante",null,571,NULL,NULL,NULL
572,"Lance Avery",534.366.175-85,"2025-03-19 15:51:36","2024-12-16 22:37:53",Natal,null,572,NULL,NULL,NULL
573,"Keelie Goodman",332.748.732-13,"2023-11-23 16:24:24","2023-11-07 08:12:28",Macaíba,null,573,NULL,NULL,NULL
574,"Dawn Kirk",103.466.820-52,"2023-09-07 12:19:43","2025-01-18 02:17:54",Macaíba,null,574,NULL,NULL,NULL
575,"Perry Nichols",164.912.577-83,"2023-08-27 08:36:39","2024-05-09 14:00:10",Macaíba,null,575,NULL,NULL,NULL
576,"Quinlan Walters",221.162.863-17,"2024-09-18 17:30:05","2023-12-19 14:48:15",Ceará-Mirim,null,576,NULL,NULL,NULL
577,"Hanae Barlow",782.554.223-21,"2025-05-07 22:11:22","2025-07-09 14:29:38",Parnamirim,null,577,NULL,NULL,NULL
578,"Devin Miles",163.312.631-35,"2024-07-17 17:45:26","2024-09-17 11:34:17",Macaíba,null,578,NULL,NULL,NULL
579,"Amity Ryan",366.124.386-31,"2023-10-09 19:29:53","2025-07-30 21:58:25",Macaíba,null,579,NULL,NULL,NULL
580,"Evelyn Whitney",135.585.447-52,"2024-09-28 10:12:03","2025-01-16 19:36:27",Ceará-Mirim,null,580,NULL,NULL,NULL
581,"Devin Rutledge",468.881.529-12,"2025-06-06 13:47:52","2023-08-19 11:46:45",Natal,null,581,NULL,NULL,NULL
582,"Cleo Schneider",973.256.778-52,"2025-05-22 04:25:20","2025-06-05 05:41:12",Extremoz,null,582,NULL,NULL,NULL
583,"Howard Ruiz",474.133.422-57,"2023-10-03 14:46:28","2024-04-14 16:26:12","São Gonçalo do Amarante",null,583,NULL,NULL,NULL
584,"Noble Martinez",296.951.325-13,"2024-09-17 17:42:48","2023-11-08 07:52:59","São Gonçalo do Amarante",null,584,NULL,NULL,NULL
585,"Amela Mccarthy",695.718.628-89,"2024-09-29 09:41:51","2024-10-19 22:47:26",Natal,null,585,NULL,NULL,NULL
586,"Branden Vargas",771.396.997-56,"2025-07-22 02:46:49","2023-10-05 14:42:21",Ceará-Mirim,null,586,NULL,NULL,NULL
587,"Alma White",219.973.154-44,"2024-01-19 07:35:34","2024-07-04 12:15:39",Ceará-Mirim,null,587,NULL,NULL,NULL
588,"Jerry Delacruz",044.571.614-40,"2024-02-11 17:49:05","2023-08-08 06:46:32",Macaíba,null,588,NULL,NULL,NULL
589,"Mohammad Walters",025.118.175-71,"2025-05-25 09:42:49","2024-03-16 00:19:08",Natal,null,589,NULL,NULL,NULL
590,"Avye Witt",105.768.351-86,"2024-12-05 02:13:12","2023-08-19 17:59:38",Parnamirim,null,590,NULL,NULL,NULL
591,"Cailin Herman",098.443.438-22,"2025-01-06 20:23:34","2024-11-01 04:31:21",Macaíba,null,591,NULL,NULL,NULL
592,"Virginia Hamilton",571.327.571-61,"2024-07-23 03:14:56","2024-05-13 15:07:29",Parnamirim,null,592,NULL,NULL,NULL
593,"Brian Bray",364.996.732-53,"2024-09-30 13:39:52","2025-01-17 05:21:08","São Gonçalo do Amarante",null,593,NULL,NULL,NULL
594,"Patricia Lloyd",434.125.760-52,"2024-10-13 05:26:38","2025-05-27 05:58:20","São Gonçalo do Amarante",null,594,NULL,NULL,NULL
595,"Urielle Wagner",155.465.120-49,"2024-01-15 15:17:02","2025-04-18 07:28:53",Natal,null,595,NULL,NULL,NULL
596,"Holly Welch",855.188.688-72,"2023-09-20 22:29:20","2024-06-21 12:57:58",Ceará-Mirim,null,596,NULL,NULL,NULL
597,"Patricia Dean",873.389.581-47,"2025-04-10 20:32:20","2024-05-21 14:51:10","São Gonçalo do Amarante",null,597,NULL,NULL,NULL
598,"Stewart Jarvis",662.927.713-23,"2025-03-28 03:49:58","2023-08-15 12:05:45",Ceará-Mirim,null,598,NULL,NULL,NULL
599,"Philip Rosario",181.021.555-32,"2024-02-22 02:09:18","2024-10-19 03:51:23",Natal,null,599,NULL,NULL,NULL
600,"Grady Gibson",631.328.148-21,"2024-07-06 20:19:03","2024-12-10 08:03:23","São Gonçalo do Amarante",null,600,NULL,NULL,NULL
601,"Reed Barnes",621.545.943-53,"2024-01-10 18:26:33","2024-09-08 17:16:27",Macaíba,null,601,NULL,NULL,NULL
602,"Lysandra Estes",714.368.806-47,"2024-09-11 01:05:39","2024-10-26 21:49:03","São Gonçalo do Amarante",null,602,NULL,NULL,NULL
603,"Kyra Herman",072.738.664-02,"2023-11-21 07:30:27","2024-09-16 23:12:27",Ceará-Mirim,null,603,NULL,NULL,NULL
604,"Aiko Ware",467.642.547-32,"2025-08-06 03:17:45","2024-01-31 06:43:31",Parnamirim,null,604,NULL,NULL,NULL
605,"Jennifer Harrison",149.516.721-27,"2025-07-08 14:50:11","2024-01-05 21:58:20",Extremoz,null,605,NULL,NULL,NULL
606,"Brynne Hartman",718.367.927-08,"2024-05-11 16:16:31","2024-04-24 17:17:48",Extremoz,null,606,NULL,NULL,NULL
607,"Ebony Bishop",656.212.722-87,"2023-12-15 23:40:22","2024-11-27 07:30:55",Extremoz,null,607,NULL,NULL,NULL
608,"Suki Mack",769.613.656-64,"2024-06-17 20:22:12","2025-07-17 08:59:37",Parnamirim,null,608,NULL,NULL,NULL
609,"Fritz Randall",676.245.384-24,"2024-12-01 01:32:35","2024-11-01 04:38:50",Parnamirim,null,609,NULL,NULL,NULL
610,"Deborah O'Neill",366.556.551-94,"2025-04-27 08:05:26","2025-05-29 16:03:39","São Gonçalo do Amarante",null,610,NULL,NULL,NULL
611,"Michael Dalton",658.827.645-41,"2023-12-01 05:01:28","2024-08-11 08:47:44",Natal,null,611,NULL,NULL,NULL
612,"Philip Ochoa",981.098.974-81,"2024-01-31 13:17:27","2025-04-29 05:27:45",Parnamirim,null,612,NULL,NULL,NULL
613,"Grant Anthony",797.892.429-56,"2025-06-03 06:52:29","2023-11-12 02:31:22",Macaíba,null,613,NULL,NULL,NULL
614,"Jackson Sweet",335.244.828-76,"2025-02-17 22:57:47","2024-11-02 09:03:52",Natal,null,614,NULL,NULL,NULL
615,"Emery Robbins",671.080.283-66,"2023-11-01 22:14:26","2024-06-15 05:29:54",Ceará-Mirim,null,615,NULL,NULL,NULL
616,"Astra Davidson",426.380.290-32,"2024-05-04 13:56:53","2024-10-08 04:42:46",Parnamirim,null,616,NULL,NULL,NULL
617,"Octavia Sweeney",113.833.324-87,"2024-07-29 11:33:39","2024-02-29 13:12:39",Ceará-Mirim,null,617,NULL,NULL,NULL
618,"Kerry Key",902.518.552-53,"2025-04-15 17:11:04","2023-09-24 12:45:53",Macaíba,null,618,NULL,NULL,NULL
619,"Addison Moses",430.761.131-47,"2024-05-20 21:44:50","2024-06-05 09:55:29",Natal,null,619,NULL,NULL,NULL
620,"Tatiana Garrett",531.623.877-27,"2024-12-24 10:38:14","2025-08-01 18:43:53","São Gonçalo do Amarante",null,620,NULL,NULL,NULL
621,"Mercedes Stephens",862.749.466-97,"2024-12-26 12:26:56","2023-11-29 00:03:14",Ceará-Mirim,null,621,NULL,NULL,NULL
622,"MacKenzie Velez",297.376.956-27,"2025-06-01 01:29:33","2025-06-06 09:03:03",Natal,null,622,NULL,NULL,NULL
623,"Jade Trujillo",476.337.425-67,"2025-03-03 23:42:30","2024-07-21 07:43:59",Ceará-Mirim,null,623,NULL,NULL,NULL
624,"Ian Wooten",712.634.833-12,"2025-03-08 11:08:36","2025-03-13 09:04:40",Ceará-Mirim,null,624,NULL,NULL,NULL
625,"Zenia Cross",571.242.319-65,"2024-01-17 22:07:52","2023-12-17 05:44:10",Macaíba,null,625,NULL,NULL,NULL
626,"Griffith Wiggins",426.581.852-12,"2023-12-01 21:42:58","2024-07-23 17:25:07","São Gonçalo do Amarante",null,626,NULL,NULL,NULL
627,"Lamar Stevenson",537.237.153-27,"2024-09-10 22:05:55","2024-03-14 11:13:10",Parnamirim,null,627,NULL,NULL,NULL
628,"Norman Brady",444.610.461-26,"2023-12-12 07:46:44","2025-05-05 10:23:25","São Gonçalo do Amarante",null,628,NULL,NULL,NULL
629,"Libby Tucker",468.061.402-56,"2025-06-08 17:19:53","2024-02-29 00:23:39",Macaíba,null,629,NULL,NULL,NULL
630,"Colorado Rush",061.326.397-65,"2025-04-05 17:51:57","2025-04-23 23:38:05",Extremoz,null,630,NULL,NULL,NULL
631,"Brock Kirby",775.314.322-11,"2023-09-22 07:19:27","2025-04-23 13:20:10",Macaíba,null,631,NULL,NULL,NULL
632,"Liberty Salazar",714.609.646-71,"2023-12-01 06:38:19","2025-06-06 20:02:06",Extremoz,null,632,NULL,NULL,NULL
633,"Aidan Reese",015.518.528-44,"2025-06-11 08:02:53","2024-10-13 19:54:58",Natal,null,633,NULL,NULL,NULL
634,"Patience Alford",383.178.366-37,"2024-03-16 19:47:35","2024-09-12 02:24:02",Extremoz,null,634,NULL,NULL,NULL
635,"Griffin Dunlap",147.260.672-47,"2023-08-14 22:36:15","2024-04-14 09:45:19",Ceará-Mirim,null,635,NULL,NULL,NULL
636,"Genevieve Harper",777.145.491-73,"2025-06-28 01:47:37","2024-01-06 15:14:02",Ceará-Mirim,null,636,NULL,NULL,NULL
637,"Clementine Wallace",635.017.573-64,"2024-01-12 13:36:11","2024-09-23 08:02:16",Extremoz,null,637,NULL,NULL,NULL
638,"Jaime Medina",598.725.330-63,"2023-12-01 06:13:33","2024-09-26 07:16:05",Macaíba,null,638,NULL,NULL,NULL
639,"Jerry Hopper",314.247.382-42,"2025-02-24 08:23:30","2024-05-05 10:17:20",Natal,null,639,NULL,NULL,NULL
640,"Ronan Charles",249.632.426-42,"2024-03-04 00:28:28","2025-06-05 18:30:55",Macaíba,null,640,NULL,NULL,NULL
641,"Kay Glass",377.146.677-88,"2025-01-30 19:15:22","2024-07-13 21:26:39",Parnamirim,null,641,NULL,NULL,NULL
642,"Jane Salas",331.577.471-61,"2025-08-01 18:12:39","2023-12-03 12:15:04","São Gonçalo do Amarante",null,642,NULL,NULL,NULL
643,"James Downs",808.882.330-46,"2025-05-28 23:44:41","2024-08-30 12:52:48",Natal,null,643,NULL,NULL,NULL
644,"Ivan Russell",232.563.872-17,"2025-07-07 00:50:03","2023-11-26 22:44:48",Parnamirim,null,644,NULL,NULL,NULL
645,"Wilma Sandoval",882.284.126-84,"2024-01-19 07:46:22","2023-09-24 21:40:31","São Gonçalo do Amarante",null,645,NULL,NULL,NULL
646,"Veronica Vance",267.828.064-54,"2024-02-20 00:22:52","2023-12-09 10:38:10",Ceará-Mirim,null,646,NULL,NULL,NULL
647,"Ross Shepherd",594.794.821-32,"2025-01-24 10:23:10","2025-04-19 04:12:06","São Gonçalo do Amarante",null,647,NULL,NULL,NULL
648,"Yvonne Potts",280.541.136-61,"2024-09-02 06:04:51","2024-01-03 12:00:42",Natal,null,648,NULL,NULL,NULL
649,"Marshall Shepard",318.764.989-32,"2024-03-12 09:16:37","2024-01-13 02:21:18",Parnamirim,null,649,NULL,NULL,NULL
650,"Marny Butler",311.469.058-33,"2024-05-20 07:48:32","2023-10-25 09:12:08",Natal,null,650,NULL,NULL,NULL
651,"Travis Richmond",551.586.342-54,"2024-04-12 09:59:55","2025-04-10 20:43:48",Parnamirim,null,651,NULL,NULL,NULL
652,"Holmes Wise",268.020.647-86,"2024-11-09 12:15:44","2024-04-15 09:37:30",Macaíba,null,652,NULL,NULL,NULL
653,"Thaddeus Hooper",107.623.318-86,"2025-03-08 20:15:11","2024-09-28 09:37:22","São Gonçalo do Amarante",null,653,NULL,NULL,NULL
654,"Kelsie Vaughan",735.656.192-03,"2024-10-12 06:54:17","2024-02-08 01:22:00",Macaíba,null,654,NULL,NULL,NULL
655,"Morgan Harmon",121.829.744-98,"2024-01-20 15:20:18","2025-03-24 13:59:22",Parnamirim,null,655,NULL,NULL,NULL
656,"Buckminster Combs",459.668.872-65,"2023-09-16 23:55:25","2025-02-25 01:53:46",Natal,null,656,NULL,NULL,NULL
657,"Suki Sykes",489.524.765-18,"2025-01-28 22:10:05","2024-06-02 10:45:59",Macaíba,null,657,NULL,NULL,NULL
658,"Isaiah Dunn",492.873.972-48,"2025-02-24 15:44:17","2024-03-30 18:55:26",Natal,null,658,NULL,NULL,NULL
659,"Lee Harvey",688.065.745-76,"2025-04-01 18:51:03","2025-01-01 04:34:45",Ceará-Mirim,null,659,NULL,NULL,NULL
660,"August Cotton",652.145.818-20,"2024-09-04 16:38:25","2023-10-30 10:50:17",Ceará-Mirim,null,660,NULL,NULL,NULL
661,"Amery Stevens",346.366.715-33,"2023-10-09 21:09:40","2025-07-07 04:14:49","São Gonçalo do Amarante",null,661,NULL,NULL,NULL
662,"Indigo Burch",528.770.468-75,"2024-05-01 10:18:56","2023-09-14 19:31:52",Extremoz,null,662,NULL,NULL,NULL
663,"Julie Pratt",935.264.248-40,"2024-09-22 04:24:23","2024-09-21 16:45:21",Macaíba,null,663,NULL,NULL,NULL
664,"Ciara Leblanc",017.580.711-15,"2023-10-10 03:52:59","2024-11-17 15:38:53",Natal,null,664,NULL,NULL,NULL
665,"Barrett Skinner",163.892.628-65,"2025-02-16 20:29:57","2024-06-12 08:45:29",Natal,null,665,NULL,NULL,NULL
666,"Emerald Duke",154.474.319-75,"2023-08-10 03:49:55","2025-05-01 11:52:46",Extremoz,null,666,NULL,NULL,NULL
667,"Melodie Bird",164.376.773-35,"2024-10-20 15:20:17","2024-06-04 16:24:03",Macaíba,null,667,NULL,NULL,NULL
668,"Ramona Gregory",556.773.784-87,"2025-01-04 10:47:37","2024-12-13 20:38:44",Extremoz,null,668,NULL,NULL,NULL
669,"Judith Greene",303.058.664-15,"2024-03-08 14:26:30","2023-08-21 18:41:47",Parnamirim,null,669,NULL,NULL,NULL
670,"Alvin Kane",781.686.121-36,"2024-12-09 21:40:18","2025-05-16 17:05:04",Extremoz,null,670,NULL,NULL,NULL
671,"Kim Quinn",527.373.248-33,"2024-08-21 15:10:22","2024-03-15 03:41:02",Natal,null,671,NULL,NULL,NULL
672,"Cadman Keller",824.400.820-84,"2023-08-25 18:53:18","2024-03-31 11:17:37",Ceará-Mirim,null,672,NULL,NULL,NULL
673,"Desirae Robbins",795.680.553-55,"2024-10-07 03:21:32","2023-08-18 07:07:32",Extremoz,null,673,NULL,NULL,NULL
674,"Jelani Beach",692.047.561-88,"2024-12-01 05:13:18","2025-02-11 14:34:39","São Gonçalo do Amarante",null,674,NULL,NULL,NULL
675,"Rosalyn Mclaughlin",821.662.858-38,"2025-02-22 00:56:11","2024-06-05 14:05:21",Parnamirim,null,675,NULL,NULL,NULL
676,"Hillary Sears",513.661.053-31,"2024-03-05 05:36:06","2024-12-12 22:06:55",Extremoz,null,676,NULL,NULL,NULL
677,"Alexander Barr",753.243.111-04,"2024-02-29 03:48:21","2025-07-05 18:15:39",Macaíba,null,677,NULL,NULL,NULL
678,"Kyle Henderson",161.102.481-16,"2025-06-05 09:00:38","2024-05-17 11:50:50",Macaíba,null,678,NULL,NULL,NULL
679,"Anne Bruce",531.046.457-69,"2024-12-16 03:04:19","2024-07-09 03:27:27",Ceará-Mirim,null,679,NULL,NULL,NULL
680,"Jin Camacho",182.616.789-58,"2023-12-31 10:51:57","2025-04-18 18:44:19","São Gonçalo do Amarante",null,680,NULL,NULL,NULL
681,"Daria Coffey",822.583.186-19,"2024-07-11 09:59:04","2024-06-01 04:22:55",Parnamirim,null,681,NULL,NULL,NULL
682,"Sonya Burnett",351.188.582-42,"2025-07-28 18:29:11","2024-03-18 02:07:56",Macaíba,null,682,NULL,NULL,NULL
683,"Bianca Lang",221.579.284-33,"2024-02-11 22:26:46","2023-10-24 00:34:55",Extremoz,null,683,NULL,NULL,NULL
684,"Jacob Ewing",253.254.294-98,"2025-04-23 17:49:31","2024-09-03 03:47:26",Natal,null,684,NULL,NULL,NULL
685,"Cleo Robbins",556.823.509-56,"2025-06-15 23:40:03","2023-12-03 20:35:35","São Gonçalo do Amarante",null,685,NULL,NULL,NULL
686,"Aiko Maddox",118.373.112-69,"2024-05-15 01:51:10","2024-06-01 06:35:36",Macaíba,null,686,NULL,NULL,NULL
687,"Ebony Hancock",257.569.121-61,"2024-10-01 20:22:44","2024-04-27 06:32:11",Extremoz,null,687,NULL,NULL,NULL
688,"Zephania Soto",774.013.359-55,"2024-11-25 06:47:27","2024-04-19 22:14:13",Extremoz,null,688,NULL,NULL,NULL
689,"Ethan Bender",814.278.267-48,"2024-02-19 13:38:40","2024-05-31 12:01:58",Extremoz,null,689,NULL,NULL,NULL
690,"Fritz York",806.484.475-76,"2024-08-16 13:11:20","2024-07-16 02:27:45",Parnamirim,null,690,NULL,NULL,NULL
691,"Dai Hancock",885.401.143-28,"2025-02-03 10:11:39","2025-05-24 23:33:09",Extremoz,null,691,NULL,NULL,NULL
692,"Rafael Raymond",807.177.761-17,"2024-05-10 08:49:11","2025-06-21 10:18:01",Macaíba,null,692,NULL,NULL,NULL
693,"Lila Williamson",735.573.315-46,"2023-10-25 13:59:15","2025-03-18 22:17:25",Extremoz,null,693,NULL,NULL,NULL
694,"Ivy Mcfadden",161.575.165-69,"2025-03-07 03:51:11","2024-10-25 09:57:30",Extremoz,null,694,NULL,NULL,NULL
695,"Malcolm Mann",818.375.121-83,"2025-06-10 16:43:31","2025-03-31 11:13:31","São Gonçalo do Amarante",null,695,NULL,NULL,NULL
696,"Eve Weber",394.617.721-41,"2025-02-22 05:51:52","2024-04-24 00:00:50",Ceará-Mirim,null,696,NULL,NULL,NULL
697,"Eaton Wong",750.536.968-86,"2023-11-16 03:55:09","2023-12-05 17:49:49","São Gonçalo do Amarante",null,697,NULL,NULL,NULL
698,"Cody Mullen",011.817.723-66,"2025-05-17 20:55:13","2023-11-10 03:37:22",Extremoz,null,698,NULL,NULL,NULL
699,"Isaiah Clements",658.773.652-32,"2024-01-14 18:17:46","2024-03-19 01:00:25",Macaíba,null,699,NULL,NULL,NULL
700,"Shelley Bass",610.135.285-82,"2024-09-19 16:05:49","2024-03-04 15:37:19",Extremoz,null,700,NULL,NULL,NULL
701,"Reece Aguirre",226.754.824-44,"2023-11-08 01:11:18","2024-01-21 22:25:18",Ceará-Mirim,null,701,NULL,NULL,NULL
702,"Matthew Britt",164.342.181-70,"2024-07-11 21:28:58","2024-08-05 15:56:38","São Gonçalo do Amarante",null,702,NULL,NULL,NULL
703,"Merrill Koch",161.677.568-46,"2025-04-06 22:19:58","2024-09-02 09:02:12",Extremoz,null,703,NULL,NULL,NULL
704,"Jennifer Shelton",188.513.375-73,"2024-03-30 00:08:35","2024-03-04 02:46:06",Parnamirim,null,704,NULL,NULL,NULL
705,"Dustin Herman",474.343.507-40,"2024-07-14 05:28:48","2025-01-12 20:23:14",Ceará-Mirim,null,705,NULL,NULL,NULL
706,"Chancellor Humphrey",157.515.060-96,"2023-12-25 05:04:38","2024-08-15 21:38:17",Ceará-Mirim,null,706,NULL,NULL,NULL
707,"Chloe Cline",885.248.828-22,"2024-10-21 23:18:40","2024-12-27 14:47:45",Parnamirim,null,707,NULL,NULL,NULL
708,"Austin Robles",062.138.611-51,"2024-03-19 14:51:23","2024-04-17 04:17:42",Macaíba,null,708,NULL,NULL,NULL
709,"Lyle Johnston",107.976.122-48,"2025-01-07 20:15:02","2024-05-13 07:52:19",Parnamirim,null,709,NULL,NULL,NULL
710,"Marshall Nicholson",363.986.216-92,"2024-03-07 19:39:34","2024-05-07 07:54:27","São Gonçalo do Amarante",null,710,NULL,NULL,NULL
711,"Bert Dunn",436.154.668-31,"2025-02-12 04:41:29","2025-04-20 17:47:41",Ceará-Mirim,null,711,NULL,NULL,NULL
712,"Lane Hinton",841.692.472-45,"2024-01-07 23:02:06","2024-08-03 17:48:00",Macaíba,null,712,NULL,NULL,NULL
713,"Tanner Harris",858.012.427-38,"2024-02-17 17:29:29","2025-04-19 21:09:36",Ceará-Mirim,null,713,NULL,NULL,NULL
714,"Kareem Haley",324.129.848-67,"2024-01-15 09:02:31","2025-05-06 06:48:42",Natal,null,714,NULL,NULL,NULL
715,"Cole Trevino",375.361.376-87,"2023-12-30 12:39:03","2024-01-02 09:01:31","São Gonçalo do Amarante",null,715,NULL,NULL,NULL
716,"Keefe Osborn",133.323.230-74,"2025-02-22 23:07:58","2024-08-04 08:17:43",Ceará-Mirim,null,716,NULL,NULL,NULL
717,"Xanthus Peters",488.926.283-66,"2025-02-13 11:07:36","2024-03-27 21:57:27","São Gonçalo do Amarante",null,717,NULL,NULL,NULL
718,"Connor Stanton",794.117.275-44,"2024-02-29 02:04:06","2025-03-19 07:02:06",Macaíba,null,718,NULL,NULL,NULL
719,"Charissa Alexander",173.731.814-23,"2024-04-16 22:41:56","2024-07-08 23:54:54","São Gonçalo do Amarante",null,719,NULL,NULL,NULL
720,"Travis Chen",145.156.560-61,"2024-09-07 22:37:27","2025-01-03 03:49:20",Parnamirim,null,720,NULL,NULL,NULL
721,"Alexander Cochran",324.347.448-12,"2025-03-25 02:57:39","2023-11-18 09:19:50",Macaíba,null,721,NULL,NULL,NULL
722,"Jessica Richard",601.285.411-31,"2023-09-04 14:32:40","2024-02-07 10:43:07","São Gonçalo do Amarante",null,722,NULL,NULL,NULL
723,"Hamilton Stanton",399.843.302-54,"2024-05-14 16:19:02","2025-04-13 10:14:06",Macaíba,null,723,NULL,NULL,NULL
724,"Iliana Petersen",181.748.816-91,"2024-09-03 08:55:37","2024-08-22 01:26:07",Natal,null,724,NULL,NULL,NULL
725,"Kato Witt",942.710.043-68,"2023-11-03 19:59:53","2025-06-11 16:30:36",Macaíba,null,725,NULL,NULL,NULL
726,"Amelia Torres",629.037.216-37,"2024-04-26 22:04:59","2023-11-20 04:29:22",Macaíba,null,726,NULL,NULL,NULL
727,"Deirdre Mccray",652.424.384-36,"2023-12-10 05:32:01","2024-01-20 17:36:44",Macaíba,null,727,NULL,NULL,NULL
728,"Colt Kerr",196.474.863-55,"2025-03-25 04:26:58","2024-11-07 15:42:49",Natal,null,728,NULL,NULL,NULL
729,"Hope Francis",826.748.528-72,"2025-02-11 21:36:04","2024-04-17 23:45:39","São Gonçalo do Amarante",null,729,NULL,NULL,NULL
730,"Adele Lynn",612.464.865-23,"2023-08-07 19:27:20","2024-08-26 08:16:57",Natal,null,730,NULL,NULL,NULL
731,"Sawyer Holcomb",527.612.414-56,"2025-02-22 02:27:44","2024-06-22 07:01:05","São Gonçalo do Amarante",null,731,NULL,NULL,NULL
732,"Regina Warren",878.361.447-25,"2023-12-15 12:05:52","2024-12-12 17:29:53",Extremoz,null,732,NULL,NULL,NULL
733,"Dolan Simmons",064.522.682-53,"2025-07-25 04:22:41","2024-10-18 00:43:58",Parnamirim,null,733,NULL,NULL,NULL
734,"Jameson Curry",219.371.555-89,"2024-02-19 10:04:46","2024-09-26 08:30:39",Parnamirim,null,734,NULL,NULL,NULL
735,"Quinn Whitehead",447.740.983-47,"2023-11-22 13:17:42","2023-09-09 16:04:40",Parnamirim,null,735,NULL,NULL,NULL
736,"Duncan Sargent",883.639.671-35,"2024-11-24 10:53:14","2024-10-17 19:47:37",Natal,null,736,NULL,NULL,NULL
737,"Hanna Mcpherson",162.758.686-68,"2024-02-27 01:44:22","2024-02-09 09:32:59",Natal,null,737,NULL,NULL,NULL
738,"Zenaida Delacruz",848.502.703-48,"2024-11-23 16:59:06","2024-07-28 12:51:07","São Gonçalo do Amarante",null,738,NULL,NULL,NULL
739,"Kameko Lynch",963.188.721-52,"2023-09-07 13:01:21","2024-11-04 13:50:17",Macaíba,null,739,NULL,NULL,NULL
740,"Hoyt Mercer",686.534.755-52,"2023-10-11 13:14:15","2024-10-07 17:03:45",Macaíba,null,740,NULL,NULL,NULL
